"Department","Name","No.","Date/Time","Location ID","ID Number","VerifyCode","CardNo"
"OUR COMPANY","36","36","12/27/2023 5:57 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","12/28/2023 8:50 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","12/28/2023 6:00 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","12/30/2023 8:48 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","12/30/2023 7:07 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","12/31/2023 8:55 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","12/31/2023 7:23 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/1/2024 8:56 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/1/2024 6:03 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/2/2024 8:56 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/2/2024 6:10 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/3/2024 8:57 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/3/2024 5:22 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/4/2024 8:57 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/4/2024 5:53 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/9/2024 8:53 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/9/2024 8:53 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/9/2024 7:12 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/10/2024 8:54 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/10/2024 5:12 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/11/2024 8:58 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/11/2024 5:28 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/13/2024 8:58 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/13/2024 6:00 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/14/2024 8:59 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/14/2024 6:08 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/15/2024 9:02 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/15/2024 6:07 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/16/2024 8:58 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/16/2024 6:16 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/17/2024 8:57 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/17/2024 6:09 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/18/2024 9:05 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/18/2024 5:49 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/20/2024 8:58 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/20/2024 6:10 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/21/2024 9:00 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/21/2024 6:36 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/22/2024 9:03 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/22/2024 6:09 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/23/2024 9:01 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/23/2024 6:00 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/24/2024 8:59 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","36","36","1/24/2024 6:29 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","12/26/2023 8:44 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","12/26/2023 6:50 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","12/27/2023 8:57 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","12/27/2023 6:18 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","12/28/2023 9:03 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","12/28/2023 6:02 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","12/30/2023 8:49 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","12/30/2023 6:48 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","12/31/2023 8:48 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","12/31/2023 5:14 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","12/31/2023 5:15 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/1/2024 9:00 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/1/2024 6:03 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/2/2024 8:56 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/2/2024 5:39 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/3/2024 8:56 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/3/2024 5:11 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/4/2024 8:47 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/4/2024 5:40 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/9/2024 8:57 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/9/2024 6:19 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/10/2024 9:00 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/10/2024 6:14 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/11/2024 8:55 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/11/2024 7:27 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/13/2024 9:01 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/13/2024 5:35 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/14/2024 8:56 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/14/2024 6:10 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/15/2024 9:04 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/15/2024 5:49 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/16/2024 8:56 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/17/2024 8:57 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/17/2024 6:08 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/18/2024 8:24 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/18/2024 5:04 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/20/2024 8:54 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/20/2024 5:59 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/21/2024 8:59 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/21/2024 5:56 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/22/2024 8:59 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/22/2024 5:36 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/23/2024 8:57 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","49","49","1/23/2024 6:07 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","51","51","12/31/2023 9:02 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","51","51","12/31/2023 7:59 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","51","51","1/9/2024 9:13 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","12/27/2023 9:22 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","12/27/2023 5:49 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","12/28/2023 9:01 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","12/30/2023 8:48 AM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","12/30/2023 6:47 PM","104","","FP/PW/RF/FACE",""
"OUR COMPANY","94","94","12/31/2023 8:51 AM","104","","FP/PW/RF/FACE",""
